Function ID,X1,X2,X3,X4,X5,X6,X7,X8,Y
1,0.3194038888388972,0.7629593742689353,,,,,,,1.3226770395454075e-79
1,0.5743292145098291,0.879898104984359,,,,,,,1.0330782375230975e-46
1,0.7310236309563586,0.7329998764152272,,,,,,,7.710875114502849e-16
1,0.8403534169072556,0.264731613996767,,,,,,,3.341771007676023e-124
1,0.6501140597987644,0.6815263520602101,,,,,,,-0.0036060626443634
1,0.4104371366251856,0.1475542990299818,,,,,,,-2.1592490357331095e-54
1,0.3126911567947775,0.0787227779497188,,,,,,,-2.0890932702320842e-91
1,0.6834181688515067,0.8610574643936101,,,,,,,2.5350011535584046e-40
1,0.0825072518208058,0.403487506426324,,,,,,,3.6067711901420254e-81
1,0.8838898288181171,0.5822539743824439,,,,,,,6.229856468168658e-48
2,0.6657995800131589,0.123969127675349,,,,,,,0.5389961189269181
2,0.8777909889953304,0.7786275008473289,,,,,,,0.4205862396279826
2,0.142699074235946,0.3490051305732001,,,,,,,-0.0656236244373373
2,0.8452754286767249,0.7111202665952655,,,,,,,0.293992912410866
2,0.4546471410512441,0.2904551797740609,,,,,,,0.2149645101004509
2,0.5777128444074784,0.7719731841154063,,,,,,,0.0231055497981905
2,0.4381660616117107,0.6850182567997548,,,,,,,0.2446193440044803
2,0.3417495930288503,0.0286977198222778,,,,,,,0.0387490151561584
2,0.3386481568870176,0.2138672456386436,,,,,,,-0.0138576181497298
2,0.7026365569244406,0.9265641975455574,,,,,,,0.6112052157614438
3,0.1715252068810621,0.3439168702758373,0.2487372010692387,,,,,,-0.1121222004625689
3,0.2421144606124933,0.6440742697791076,0.2724328091994552,,,,,,-0.0879628602273644
3,0.5349057202251034,0.3985009153676316,0.1733887289456772,,,,,,-0.111414654295324
3,0.4925814146371343,0.6115931882759961,0.3401763860035727,,,,,,-0.0348353133500785
3,0.1346216663206111,0.2199172404897456,0.458206219649227,,,,,,-0.0480075843921815
3,0.3455232705197697,0.9413598305723256,0.2693634790694064,,,,,,-0.1106209130728265
3,0.151836632374168,0.4399906189664437,0.990881866558951,,,,,,-0.3989255131463011
3,0.6455028351793182,0.3971429395797703,0.9197713377032198,,,,,,-0.1138685147886399
3,0.7469119451655177,0.2841963092257342,0.2262998548875254,,,,,,-0.1314606086413605
3,0.1704769939696806,0.697032400686134,0.1491694337083002,,,,,,-0.0941895609105739
4,0.8969810543559719,0.7256279703482243,0.1754043089024115,0.7016943693717497,,,,,-22.108287785435817
4,0.8893563957199797,0.499587855376965,0.5392688577643431,0.5087834390633533,,,,,-14.60139663195316
4,0.2509462427523342,0.0336931305473535,0.1453800247355214,0.4949324205649785,,,,,-11.699932463834426
4,0.3469620609143241,0.0062504002449178,0.7605636064368956,0.6130235572343078,,,,,-16.053765110568296
4,0.1248711812207095,0.1297701930651067,0.3844004830013033,0.2870761010606127,,,,,-10.069633426012889
4,0.8013027073487429,0.5002310937156627,0.7066445599562093,0.1951028410119162,,,,,-15.487082537755288
